"","tempo","Country","valence","Country"
"137",74.752,"Egypt",0.255,"Egypt"
"138",140.092,"Egypt",0.432,"Egypt"
"139",140.077,"Egypt",0.354,"Egypt"
"140",142.888,"Egypt",0.418,"Egypt"
"141",104.971,"Egypt",0.234,"Egypt"
"142",179.629,"Egypt",0.687,"Egypt"
"143",101.027,"Egypt",0.693,"Egypt"
"144",109.984,"Egypt",0.813,"Egypt"
"145",110.072,"Egypt",0.762,"Egypt"
"146",95.007,"Egypt",0.873,"Egypt"
"147",115.627,"Egypt",0.329,"Egypt"
"148",138.896,"Egypt",0.284,"Egypt"
"149",83.523,"Egypt",0.824,"Egypt"
"150",91.317,"Egypt",0.614,"Egypt"
"151",140.011,"Isreal",0.596,"Isreal"
"152",107.925,"Isreal",0.454,"Isreal"
"153",150.087,"Isreal",0.892,"Isreal"
"154",169.928,"Isreal",0.478,"Isreal"
"155",119.981,"Isreal",0.27,"Isreal"
"156",175.469,"Isreal",0.445,"Isreal"
"157",127.002,"Isreal",0.787,"Isreal"
"158",141.981,"Isreal",0.13,"Isreal"
"159",93.005,"Isreal",0.533,"Isreal"
"160",130.001,"Isreal",0.442,"Isreal"
"161",80.87,"Isreal",0.531,"Isreal"
"162",126.011,"Isreal",0.537,"Isreal"
"163",150.074,"Isreal",0.552,"Isreal"
"164",116.032,"Isreal",0.934,"Isreal"
"165",101.93,"Isreal",0.126,"Isreal"
"166",181.793,"Isreal",0.337,"Isreal"
"167",121.932,"Isreal",0.415,"Isreal"
"168",84.018,"Isreal",0.345,"Isreal"
"169",141.02,"Isreal",0.822,"Isreal"
"170",77.011,"Isreal",0.555,"Isreal"
"171",99.05,"Isreal",0.361,"Isreal"
"172",107.998,"Isreal",0.881,"Isreal"
"173",108.111,"Isreal",0.272,"Isreal"
"174",139.748,"Isreal",0.663,"Isreal"
"175",144.973,"Isreal",0.966,"Isreal"
"176",173.734,"Isreal",0.36,"Isreal"
"177",114.981,"Isreal",0.851,"Isreal"
"178",73.99,"Isreal",0.374,"Isreal"
"179",179.629,"Isreal",0.687,"Isreal"
"180",125.09,"Isreal",0.318,"Isreal"
"181",127.967,"Isreal",0.676,"Isreal"
"182",178.781,"Isreal",0.71,"Isreal"
"183",103.996,"Isreal",0.555,"Isreal"
"184",123.03,"Isreal",0.627,"Isreal"
"185",82.03,"Isreal",0.848,"Isreal"
"186",129.988,"Isreal",0.282,"Isreal"
"187",87.981,"Isreal",0.546,"Isreal"
"188",97.999,"Isreal",0.558,"Isreal"
"189",102.037,"Isreal",0.181,"Isreal"
"190",120.122,"Isreal",0.109,"Isreal"
"191",187.776,"Isreal",0.206,"Isreal"
"192",99.993,"Isreal",0.573,"Isreal"
"193",82.054,"Isreal",0.32,"Isreal"
"194",90.016,"Isreal",0.167,"Isreal"
"195",93.023,"Isreal",0.205,"Isreal"
"196",134.002,"Isreal",0.589,"Isreal"
"197",94.954,"Isreal",0.237,"Isreal"
"198",166.928,"Isreal",0.688,"Isreal"
"199",124.444,"Isreal",0.113,"Isreal"
"200",97.014,"Isreal",0.688,"Isreal"
"201",122.013,"Japan",0.623,"Japan"
"202",157.628,"Japan",0.619,"Japan"
"203",131.914,"Japan",0.434,"Japan"
"204",166.199,"Japan",0.672,"Japan"
"205",151.175,"Japan",0.663,"Japan"
"206",169.9,"Japan",0.748,"Japan"
"207",150.009,"Japan",0.77,"Japan"
"208",151.924,"Japan",0.691,"Japan"
"209",164.055,"Japan",0.813,"Japan"
"210",133.041,"Japan",0.932,"Japan"
"211",170.063,"Japan",0.96,"Japan"
"212",110.001,"Japan",0.53,"Japan"
"213",162.824,"Japan",0.305,"Japan"
"214",115.01,"Japan",0.766,"Japan"
"215",119.999,"Japan",0.824,"Japan"
"216",129.911,"Japan",0.769,"Japan"
"217",166.034,"Japan",0.835,"Japan"
"218",130.01,"Japan",0.725,"Japan"
"219",86.453,"Japan",0.492,"Japan"
"220",151.92,"Japan",0.907,"Japan"
"221",123.793,"Japan",0.568,"Japan"
"222",75.895,"Japan",0.593,"Japan"
"223",121.95,"Japan",0.771,"Japan"
"224",160.08,"Japan",0.972,"Japan"
"225",154.027,"Japan",0.872,"Japan"
"226",125.851,"Japan",0.704,"Japan"
"227",129.092,"Japan",0.651,"Japan"
"228",115.947,"Japan",0.636,"Japan"
"229",82.492,"Japan",0.677,"Japan"
"230",130.06,"Japan",0.718,"Japan"
"231",130.694,"Japan",0.415,"Japan"
"232",160.116,"Japan",0.96,"Japan"
"233",161.991,"Japan",0.885,"Japan"
"234",135.005,"Japan",0.734,"Japan"
"235",86.959,"Japan",0.476,"Japan"
"236",118.011,"Japan",0.943,"Japan"
"237",116.004,"Japan",0.752,"Japan"
"238",161.987,"Japan",0.967,"Japan"
"239",77.011,"Japan",0.555,"Japan"
