"","track.name","instrumentalness","Danceability","Acousticness","Country"
"96","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Japan"
"97","Tiffany",0,0.746,0.28,"Japan"
"98","Acordo - Ao Vivo",0,0.608,0.611,"Japan"
"99","Namorando Com Saudade",0,0.678,0.312,"Japan"
"100","Envolver",0.00186,0.813,0.15,"Japan"
"101","Easy On Me",0,0.604,0.578,"Belgium"
"102","Heat Waves",6.7e-06,0.761,0.44,"Belgium"
"103","Pepas",6.98e-05,0.762,0.00776,"Belgium"
"104","abcdefu",0,0.695,0.299,"Belgium"
"105","Do It To It",0.0542,0.854,0.0209,"Belgium"
"106","STAY (with Justin Bieber)",0,0.591,0.0383,"Belgium"
"107","Waterval",4.58e-05,0.664,0.209,"Belgium"
"108","Shivers",0,0.788,0.281,"Belgium"
"109","Where Are You Now",0.000411,0.671,0.515,"Belgium"
"110","Cold Heart - PNAU Remix",7.25e-05,0.795,0.0354,"Belgium"
"111","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Belgium"
"112","Bad Habits",2.79e-05,0.807,0.0451,"Belgium"
"113","Bruxelles je t’aime",0,0.74,0.104,"Belgium"
"114","love nwantiti (ah ah ah)",0.00137,0.727,0.365,"Belgium"
"115","All I Want for Christmas Is You",0,0.336,0.164,"Belgium"
"116","Time Time",0.0035,0.715,0.0141,"Belgium"
"117","Woman",0.00294,0.824,0.0888,"Belgium"
"118","La Quête",0,0.832,0.36,"Belgium"
"119","L'odeur de l'essence",0,0.635,0.0667,"Belgium"
"120","THATS WHAT I WANT",0,0.737,0.00614,"Belgium"
"121","Oh My God",0,0.534,0.091,"Belgium"
"122","good 4 u",0,0.563,0.335,"Belgium"
"123","Beggin'",0,0.714,0.127,"Belgium"
"124","Santé",3.36e-05,0.641,0.123,"Belgium"
"125","My Universe",0,0.573,0.0114,"Belgium"
"126","Enemy (with JID) - from the series Arcane League of Legends",0,0.728,0.237,"Belgium"
"127","Love Tonight - Edit",0.000307,0.727,0.00214,"Belgium"
"128","Jour meilleur",0,0.656,0.38,"Belgium"
"129","Moth To A Flame (with The Weeknd)",0,0.542,0.00279,"Belgium"
"130","Du propre",0,0.834,0.0217,"Belgium"
"131","Fixette - Bonus",0,0.866,0.168,"Belgium"
"132","La kiffance",0,0.805,0.228,"Belgium"
"133","Never Going Home",0.047,0.836,0.0907,"Belgium"
"134","Last Christmas",2.48e-06,0.735,0.189,"Belgium"
"135","Le Bled",0,0.9,0.616,"Belgium"
"136","UHUH",0,0.933,0.0737,"Belgium"
